politica,carga,threads,acessos,hits,misses,hit_ratio,evictions,dirty_writes,tempo,avg_depth
LRU,uniforme,1,10000,1251,8749,12.51,8741,0,0.009409,0.00
SPLAY,uniforme,1,10000,1222,8778,12.22,8770,0,0.018517,3.75
LRU,zipfiana,1,10000,4558,5442,45.58,5434,0,0.008178,0.00
SPLAY,zipfiana,1,10000,4677,5323,46.77,5315,0,0.009044,2.75
LRU,uniforme,2,10000,1228,8772,12.28,8764,0,0.020362,0.00
SPLAY,uniforme,2,10000,1219,8781,12.19,8773,0,0.017791,2.88
LRU,zipfiana,2,10000,4533,5467,45.33,5459,0,0.012454,0.00
SPLAY,zipfiana,2,10000,4681,5319,46.81,5311,0,0.013466,3.25
LRU,uniforme,4,10000,1254,8746,12.54,8738,0,0.058582,0.00
SPLAY,uniforme,4,10000,1217,8783,12.17,8775,0,0.040153,4.50
LRU,zipfiana,4,10000,4591,5409,45.91,5401,0,0.028579,0.00
SPLAY,zipfiana,4,10000,4694,5306,46.94,5298,0,0.036118,2.88
LRU,uniforme,8,10000,1280,8720,12.80,8712,0,0.124715,0.00
SPLAY,uniforme,8,10000,1225,8775,12.25,8767,0,0.083462,2.88
LRU,zipfiana,8,10000,4634,5366,46.34,5358,0,0.114593,0.00
SPLAY,zipfiana,8,10000,4710,5290,47.10,5282,0,0.123406,2.88
LRU,uniforme,16,10000,1241,8759,12.41,8751,0,0.180074,0.00
SPLAY,uniforme,16,10000,1225,8775,12.25,8767,0,0.119018,3.25
LRU,zipfiana,16,10000,4609,5391,46.09,5383,0,0.145337,0.00
SPLAY,zipfiana,16,10000,4761,5239,47.61,5231,0,0.222685,2.62
